Business Name,Phone,Email,Website,City,ZIP,Google Category,Rating,Reviews,Source Search,Qualification Status,Qualification Reason,Service Type,Confidence,Primary Region,City/Location Note,Ownership Type,Ownership Confidence,Ownership Notes,Outreach Priority,Priority Reason,Data Status,Google Maps URL
Centennial State Waste & Recycling,(720) 289-4589,mymail@mailservice.com; csrolloffs.co@gmail.com; office@csrwaste.com,https://www.csrwaste.com/,,,Dumpster rental service,5,22,Roll Off Dumpster Rental,Not Qualified,Business name indicates non-dumpster service,N/A,High,Denver Metro,Centennial (from name),Local Independent,Low,Single-location branding; ownership not independently confirmed,D,Disqualified — not a roll-off dumpster rental provider,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Centennial%20State%20Waste%20%26%20Recycling\&query\_place\_id=ChIJSQj4qo-TbaURkzI0Tm\_nJtQ
Colorado Junk Removal,(802) 777-7717,cojunkremovals@gmail.com; cojunkremoval@gmail.com,https://www.cojunkremoval.com/,,,Junk removal service,,,Commercial Dumpster Rental,Maybe,Business name suggests dumpster/hauling; category unclear,Possible Dumpster Rental,Low,Unknown/Statewide,City not listed,Regional Independent,Medium,State/regional branding in business name,C,Maybe classification + email — verify roll-off service before outreach,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Colorado%20Junk%20Removal\&query\_place\_id=ChIJ3\_mvaIdnAKMRvJI3VLYGs8o
Colorado Junk Runners,(720) 307-1298,tom@cojunkrunners.com,http://www.cojunkrunners.com/,,,Waste management service,5,18,Commercial Dumpster Rental,Maybe,"""Waste management service"" category — may include roll-off",Possible Waste/Dumpster,Low,Denver Metro,(303/720 area code),Regional Independent,Medium,State/regional branding in business name,C,Maybe classification + email — verify roll-off service before outreach,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Colorado%20Junk%20Runners\&query\_place\_id=ChIJOXYe08rHlI4Rc-c-jtIEw9c
COLORADO ROLL OFF DUMPSTERS LLC,(719) 505-6578,coloradorolloff6@gmail.com; filler@godaddy.com,https://coloradorolloffllc.godaddysites.com/,,,Dumpster rental service,5,6,Roll Off Dumpster Rental,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,CO Springs/Pikes Peak,(719 area code),Regional Independent,Medium,State/regional branding in business name,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=COLORADO%20ROLL%20OFF%20DUMPSTERS%20LLC\&query\_place\_id=ChIJR4cP5tGPLG8Rkvf22YrR43o
Crestone Junk Removal & Dumpster Rentals,(719) 735-8200,crestonejunk@gmail.com,https://crestonejunkremoval.com/,,,Garbage collection service,5,16,Commercial Dumpster Rental,Not Qualified,Disqualifying Google category: Garbage collection service,N/A,High,CO Springs/Pikes Peak,(719 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,D,Disqualified — not a roll-off dumpster rental provider,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Crestone%20Junk%20Removal%20%26%20Dumpster%20Rentals\&query\_place\_id=ChIJD64-drMHZmYRZItHZkPbeFI
DC Haulers,(720) 606-3582,support@dchaulers.com,https://dchaulers.com/,,,Dumpster rental service,5,12,Commercial Dumpster Rental,Qualified,Google category: Dumpster rental service,Dumpster Rental,High,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=DC%20Haulers\&query\_place\_id=ChIJl1an4-HVzQoRwWTGX6kC3Eg
Discount Dumpster,(719) 419-6500,info@discountdumpsterco.com,https://discountdumpsterco.com/locations/colorado-springs/?utm\_source=google\&utm\_medium=organic\&utm\_campaign=google-maps,,,Waste management service,4.1,23,Roll Off Dumpster Rental,Not Qualified,National broker/lead-gen marketplace — not a direct rental provider,Broker,High,CO Springs/Pikes Peak,(719 area code),Broker/Lead Gen/Marketplace,High,Known broker or marketplace brand,D,Disqualified — not a roll-off dumpster rental provider,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Discount%20Dumpster\&query\_place\_id=ChIJUU9IXNCFSGcR3EtJkKgZyKg
Discount Dumpster,(720) 372-0820,info@discountdumpsterco.com,https://discountdumpsterco.com/locations/denver/?utm\_source=google\&utm\_medium=organic\&utm\_campaign=google-maps,,,Waste management service,4.6,240,Both,Not Qualified,National broker/lead-gen marketplace — not a direct rental provider,Broker,High,Denver Metro,(303/720 area code),Broker/Lead Gen/Marketplace,High,Known broker or marketplace brand,D,Disqualified — not a roll-off dumpster rental provider,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Discount%20Dumpster\&query\_place\_id=ChIJ6bjmIiB\_bIcR6O2gMGZtLGU
Doyle Disposal,(303) 990-0465,service@doyledisposal.com,http://www.doyledisposal.com/,,,Garbage collection service,4.8,92,Both,Not Qualified,Disqualifying Google category: Garbage collection service,N/A,High,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,D,Disqualified — not a roll-off dumpster rental provider,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Doyle%20Disposal\&query\_place\_id=ChIJvdm78suxa4cRiNsp0W34Qu4
Dumpster Diverz LLC,(970) 888-7274,team@dumpsterdiverz.com,http://dumpsterdiverz.com/,,,Garbage collection service,4.4,28,Both,Not Qualified,Disqualifying Google category: Garbage collection service,N/A,High,Northern Colorado,(970 area code — N.CO or W.Slope),Local Independent,Low,Single-location branding; ownership not independently confirmed,D,Disqualified — not a roll-off dumpster rental provider,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Dumpster%20Diverz%20LLC\&query\_place\_id=ChIJe8imzwTTbocR6EWBeecuvRk
Dunn Teller Enterprises,(970) 692-6731,dunntellerenterprises@yahoo.com,http://dunnteller.com/,,,Dumpster rental service,5,6,Roll Off Dumpster Rental,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Northern Colorado,(970 area code — N.CO or W.Slope),Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Dunn%20Teller%20Enterprises\&query\_place\_id=ChIJQf66aHe9bocRMdDTeu5drco
Durango Trash Panda,(970) 880-4042,durangotrashpanda@gmail.com,http://www.durangotrashpanda.com/,,,Dumpster rental service,5,77,Roll Off Dumpster Rental,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Northern Colorado,(970 area code — N.CO or W.Slope),Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Durango%20Trash%20Panda\&query\_place\_id=ChIJq4XbZgEzUwwRKAihtqnpEB8
Elevate Disposal LLC,(970) 364-0025,info@elevatedisposal.com; admin@inspectmyvehicle.com.au,https://www.elevatedisposal.com/,,,Waste management service,4.2,5,Roll Off Dumpster Rental,Qualified,Roll-off search source + qualifying business name,Roll-Off Dumpster Rental,Medium,Northern Colorado,(970 area code — N.CO or W.Slope),Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Elevate%20Disposal%20LLC\&query\_place\_id=ChIJ-xhqgXnm5GsRRP4sVIk7Iq4
Elevated Junk Removal,(720) 583-4472,andrew@elevatedjunkremoval.com,http://elevatedjunkremoval.com/,,,Waste management service,5,39,Commercial Dumpster Rental,Maybe,Waste management category + qualifying name — roll-off unconfirmed,Possible Dumpster/Hauling,Medium,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,C,Maybe classification + email — verify roll-off service before outreach,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Elevated%20Junk%20Removal\&query\_place\_id=ChIJt4uKRRbyKaMRb5Ur5AiXgHw
Eminent Construction LLC,(720) 383-6398,admin@eminentcontructionllc.com,https://eminentcontructionllc.com/,,,Demolition contractor,5,6,Commercial Dumpster Rental,Not Qualified,Disqualifying Google category: Demolition contractor,N/A,High,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,D,Disqualified — not a roll-off dumpster rental provider,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Eminent%20Construction%20LLC\&query\_place\_id=ChIJ3w39yOED7yERJsDBNHh508s
FreeBackJack Junk Removal,(719) 289-1671,freebackjack@gmail.com,https://freebackjackjunkremovalcom.wordpress.com/,,,Waste management service,5,56,Roll Off Dumpster Rental,Qualified,Roll-off search source + qualifying business name,Roll-Off Dumpster Rental,Medium,CO Springs/Pikes Peak,(719 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=FreeBackJack%20Junk%20Removal\&query\_place\_id=ChIJoygwrmKjE4cRpiLbfMJsobw
Front Range Hauling Solutions,(720) 339-8686,filler@godaddy.com,https://frhauling.com/,,,Junk removal service,5,13,Commercial Dumpster Rental,Maybe,Business name suggests dumpster/hauling; category unclear,Possible Dumpster Rental,Low,Denver Metro,(303/720 area code),Regional Independent,Medium,State/regional branding in business name,C,Maybe classification + email — verify roll-off service before outreach,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Front%20Range%20Hauling%20Solutions\&query\_place\_id=ChIJU8SjZresh6AR-dHYtvSlehk
Garbage Gurus,(970) 485-5709,info.garbagegurus@gmail.com,http://www.welovegarbagegurus.com/,,,Garbage collection service,4.9,67,Commercial Dumpster Rental,Not Qualified,Disqualifying Google category: Garbage collection service,N/A,High,Northern Colorado,(970 area code — N.CO or W.Slope),Local Independent,Low,Single-location branding; ownership not independently confirmed,D,Disqualified — not a roll-off dumpster rental provider,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Garbage%20Gurus\&query\_place\_id=ChIJ-TJfmVe01w4Rg96SCy3nLo8
Grand Valley Roll-Offs LLC,(970) 902-7756,cwatkins@cvrolloffs.com,https://www.gvrolloffs.com/,,,Dumpster rental service,5,13,Both,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Northern Colorado,(970 area code — N.CO or W.Slope),Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Grand%20Valley%20Roll-Offs%20LLC\&query\_place\_id=ChIJRekg4A\_\_RocR3mUho7cdfSE
Grizzly Hauling & Moving,(720) 737-9673,grizzlyhaulingandmoving@gmail.com,http://grizzlyhaulingandmoving.com/,,,Waste management service,5,80,Both,Not Qualified,Business name indicates non-dumpster service,N/A,High,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,D,Disqualified — not a roll-off dumpster rental provider,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Grizzly%20Hauling%20%26%20Moving\&query\_place\_id=ChIJHc7a6eB\_bIcRscu\_dkZgpSM
H\&H Industries LLC,,HandHIndustriespueblo@gmail.com,http://www.hhindustriesllc.com/,,,Dumpster rental service,5,2,Roll Off Dumpster Rental,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Unknown/Statewide,City not listed,Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=H%26H%20Industries%20LLC\&query\_place\_id=ChIJQRdVhFsNl2kR\_Et7gHpwjlw
High Altitude Dumpster,(720) 518-3132,highaltitudedumpster@gmail.com,http://highaltitudedumpster.com/,,,Dumpster rental service,4.9,30,Roll Off Dumpster Rental,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=High%20Altitude%20Dumpster\&query\_place\_id=ChIJKTZmlT0oxwoR3HwPV9Jg7ls
High Desert Haulers and Junk Removal,(970) 901-7956,clients@townsquareinteractive.com,https://highdeserthaulersco.com/,,,Waste management service,5,120,Both,Qualified,Roll-off search source + qualifying business name,Roll-Off Dumpster Rental,Medium,Northern Colorado,(970 area code — N.CO or W.Slope),Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=High%20Desert%20Haulers%20and%20Junk%20Removal\&query\_place\_id=ChIJoaJIBTFUmikRqIzfXguNUQA
Husky Junk Removal,(970) 795-0129,filler@godaddy.com; huskyjunkremoval@gmail.com,http://huskyjunkremoval.com/,,,Waste management service,5,30,Both,Qualified,Roll-off search source + qualifying business name,Roll-Off Dumpster Rental,Medium,Northern Colorado,(970 area code — N.CO or W.Slope),Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Husky%20Junk%20Removal\&query\_place\_id=ChIJDzsYr0VRr0IR2ppeEJfSLfA
Junk Master LLC,(720) 999-0466,junkmasterdenver@gmail.com,https://junkmasterdenver.com/?utm\_source=google\&utm\_medium=organic\&utm\_campaign=gbp,,,Junk removal service,5,254,Both,Not Qualified,No qualifying dumpster/roll-off signals found,N/A,Low,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,D,Disqualified — not a roll-off dumpster rental provider,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Junk%20Master%20LLC\&query\_place\_id=ChIJFxsqgYBvbIcRAlvCcEGCx7U
Junk Wranglers,(970) 500-8518,info@cojunkwranglers.com,https://www.cojunkwranglers.com/,,,Junk removal service,5,94,Both,Not Qualified,No qualifying dumpster/roll-off signals found,N/A,Low,Northern Colorado,(970 area code — N.CO or W.Slope),Local Independent,Low,Single-location branding; ownership not independently confirmed,D,Disqualified — not a roll-off dumpster rental provider,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Junk%20Wranglers\&query\_place\_id=ChIJ-UCISgSpBIAROASM\_UjGdTs
Junk-it,(720) 448-9133,ryan@junkitdenver.com,https://www.junkitdenver.com/,,,Garbage collection service,4.9,170,Both,Not Qualified,Disqualifying Google category: Garbage collection service,N/A,High,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,D,Disqualified — not a roll-off dumpster rental provider,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Junk-it\&query\_place\_id=ChIJwdsOpESr3msRDKpPM-g\_OCI
Junky Town,(719) 799-8622,junkytown24@gmail.com,https://www.junkytowncos.com/,,,Waste management service,5,71,Commercial Dumpster Rental,Maybe,"""Waste management service"" category — may include roll-off",Possible Waste/Dumpster,Low,CO Springs/Pikes Peak,(719 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,C,Maybe classification + email — verify roll-off service before outreach,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Junky%20Town\&query\_place\_id=ChIJWYNlZYrzL20RpY2f5RkdtTM
Just-Take-It Hauling,(719) 434-0811,JUSTTAKEIT.HAULING@GMAIL.COM,http://justtakeithauling.com/,,,Junk removal service,5,182,Both,Qualified,Roll-off search source + qualifying business name,Roll-Off Dumpster Rental,Medium,CO Springs/Pikes Peak,(719 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Just-Take-It%20Hauling\&query\_place\_id=ChIJ5cncUQI9omwRp4SxgWf\_Qgw
Loggins Junk Removal and Hauling,(719) 307-8611,logginsjl@gmail.com,http://pueblohomeservice.com/,,,Junk removal service,4.8,19,Commercial Dumpster Rental,Maybe,Business name suggests dumpster/hauling; category unclear,Possible Dumpster Rental,Low,CO Springs/Pikes Peak,(719 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,C,Maybe classification + email — verify roll-off service before outreach,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Loggins%20Junk%20Removal%20and%20Hauling\&query\_place\_id=ChIJD0di8z4NqGcRFslvWO8gIBU
Longmont Junk Haul,(720) 741-6511,wesley@longmontjunkhaul.com; %20wesley@longmontjunkhaul.com,https://longmontjunkhaul.com/,,,Debris removal service,5,190,Commercial Dumpster Rental,Not Qualified,No qualifying dumpster/roll-off signals found,N/A,Low,Northern Colorado,Longmont (from name),Local Independent,Low,Single-location branding; ownership not independently confirmed,D,Disqualified — not a roll-off dumpster rental provider,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Longmont%20Junk%20Haul\&query\_place\_id=ChIJrxzk7Eb5a4cRC5WvHhLa4vk
Max Waste Services,(303) 973-8550,info@MAXWASTESERVICES.COM,http://www.maxwasteservices.com/,,,Waste management service,4.8,18,Roll Off Dumpster Rental,Maybe,Appeared in roll-off search; name/category inconclusive,Possible Roll-Off Rental,Low,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,C,Maybe classification + email — verify roll-off service before outreach,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Max%20Waste%20Services\&query\_place\_id=ChIJvbpgM4n8NYgRcREpAoyq-TE
McCoys Dumpster Rentals,(720) 986-2428,mccoysdumpsterrentals@gmail.com; mccoysdumpsterservices@gmail.com; mmccoysdumpsterrentals@gmail.com,http://www.mccoysdumpsters.com/,,,Dumpster rental service,5,14,Both,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=McCoys%20Dumpster%20Rentals\&query\_place\_id=ChIJvdmU5eaV-qER9YNzXuCJHjc
McCoys Junk Removal LLC,(720) 419-9115,mccoysdumpsterservices@gmail.com,https://www.mccoysjunkremoval.com/,,,Waste management service,5,323,Both,Qualified,Roll-off search source + qualifying business name,Roll-Off Dumpster Rental,Medium,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=McCoys%20Junk%20Removal%20LLC\&query\_place\_id=ChIJnxvqxk0ZHUsR43OlLcNacmc
